구분,No,종목명,종목코드,fn링크,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
0,1,삼성전자,e=005930,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A005930,"108,400","상승
				3,300",+3.14%,100,"6,416,888","5,919,638",52.21,"19,739,076",22.51,9.03
0,2,SK하이닉스,e=000660,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A000660,"544,000","상승
				2,000",+0.37%,"5,000","3,960,333","728,002",53.18,"3,046,584",11.09,31.06
0,3,LG에너지솔루션,e=373220,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A373220,"426,000","상승
				16,000",+3.90%,500,"996,840","234,000",4.64,"438,931",-113.84,-4.93
0,4,삼성바이오로직스,e=207940,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A207940,"1,641,000","하락
				39,000",-2.32%,"2,500","759,634","46,291",12.70,"54,357",73.19,10.45
0,5,삼성전자우,e=005935,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A005935,"80,100","상승
				1,100",+1.39%,100,"653,596","815,975",76.94,"2,189,651",16.63,N/A
0,6,현대차,e=005380,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A005380,"315,000","상승
				31,500",+11.11%,"5,000","644,987","204,758",35.75,"3,892,799",7.92,12.43
0,7,두산에너빌리티,e=034020,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A034020,"80,400","상승
				1,200",+1.52%,"5,000","515,011","640,561",22.69,"3,813,990",-505.66,1.52
0,8,KB금융,e=105560,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A105560,"130,700","상승
				1,900",+1.48%,"5,000","498,571","381,462",75.63,"970,532",8.76,8.86
0,9,기아,e=000270,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A000270,"123,600","상승
				3,300",+2.74%,"5,000","482,550","390,413",40.05,"2,075,345",6.27,19.09
0,10,HD현대중공업,e=329180,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A329180,"534,000","상승
				7,000",+1.33%,"5,000","474,048","88,773",11.20,"122,342",36.68,11.39
0,11,한화에어로스페이스,e=012450,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A012450,"895,000","상승
				40,000",+4.68%,"5,000","461,492","51,563",43.84,"179,035",16.36,53.94
0,12,셀트리온,e=068270,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A068270,"183,300","상승
				700",+0.38%,"1,000","423,351","230,961",21.40,"476,038",57.86,2.46
0,13,삼성물산,e=028260,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A028260,"244,000","상승
				3,500",+1.46%,100,"414,743","169,977",28.94,"296,707",19.96,6.83
0,14,SK스퀘어,e=402340,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A402340,"302,000","하락
				10,500",-3.36%,100,"400,273","132,541",51.58,"384,010",5.73,21.70
0,15,NAVER,e=035420,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A035420,"249,500","상승
				2,500",+1.01%,100,"391,347","156,853",38.76,"575,298",18.02,7.90
0,16,신한지주,e=055550,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A055550,"80,200","상승
				1,500",+1.91%,"5,000","389,367","485,495",59.05,"742,348",8.21,8.11
0,17,한국전력,e=015760,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A015760,"52,200","상승
				1,600",+3.16%,"5,000","335,105","641,964",22.67,"3,448,202",4.07,9.22
0,18,한화오션,e=042660,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A042660,"108,500","상승
				2,000",+1.88%,"5,000","332,459","306,413",9.89,"765,030",27.41,11.52
0,19,현대모비스,e=012330,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A012330,"362,500","상승
				15,000",+4.32%,"5,000","328,906","90,733",45.79,"620,006",8.05,9.35
0,20,삼성생명,e=032830,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A032830,"158,200","상승
				1,200",+0.76%,500,"316,400","200,000",22.91,"242,022",14.50,6.18
0,21,HD한국조선해양,e=009540,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A009540,"432,000","상승
				13,000",+3.10%,"5,000","305,740","70,773",32.79,"115,395",15.10,11.16
0,22,HD현대일렉트릭,e=267260,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A267260,"832,000","상승
				34,000",+4.26%,"5,000","299,912","36,047",36.16,"133,262",48.62,39.34
0,23,카카오,e=035720,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A035720,"61,500","상승
				1,300",+2.16%,100,"272,066","442,384",29.74,"2,149,532",117.14,0.56
0,24,LG화학,e=051910,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A051910,"381,500","상승
				5,500",+1.46%,"5,000","269,310","70,592",34.45,"275,857",-20.21,-2.11
0,25,하나금융지주,e=086790,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A086790,"95,200","상승
				700",+0.74%,"5,000","264,966","278,326",67.32,"432,539",6.90,9.11
0,26,고려아연,e=010130,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A010130,"1,359,000","상승
				61,000",+4.70%,"5,000","262,875","19,343",11.39,"26,444",87.72,2.28
0,27,POSCO홀딩스,e=005490,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A005490,"311,000","상승
				4,500",+1.47%,"5,000","251,701","80,933",28.74,"220,888",55.94,2.00
0,28,삼성SDI,e=006400,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A006400,"307,500","상승
				5,000",+1.65%,"5,000","247,800","80,586",24.27,"379,347",-42.12,3.13
0,29,삼성화재,e=000810,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A000810,"522,000","상승
				25,000",+5.03%,500,"240,178","46,011",56.32,"109,987",13.10,13.11
0,30,삼성중공업,e=010140,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A010140,"25,450","상승
				800",+3.25%,"1,000","223,960","880,000",30.86,"3,622,933",63.62,1.77
0,31,우리금융지주,e=316140,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A316140,"28,500","상승
				250",+0.88%,"5,000","209,212","734,076",47.50,"948,690",6.57,9.39
0,32,현대로템,e=064350,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A064350,"182,000","상승
				5,800",+3.29%,"5,000","198,639","109,142",33.28,"814,651",28.68,21.85
0,33,삼성전기,e=009150,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A009150,"263,000","하락
				2,000",-0.75%,"5,000","196,444","74,694",38.12,"394,859",29.51,8.16
0,34,메리츠금융지주,e=138040,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A138040,"111,000","상승
				1,500",+1.37%,500,"194,496","175,222",14.72,"177,078",8.82,23.44
0,35,HMM,e=011200,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A011200,"20,550","상승
				450",+2.24%,"5,000","193,835","943,238",6.67,"1,882,949",7.99,15.35
0,36,SK이노베이션,e=096770,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A096770,"114,600","상승
				2,000",+1.78%,"5,000","193,734","169,053",12.68,"198,828",-8.12,-9.65
0,37,SK,e=034730,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A034730,"264,000","하락
				2,000",-0.75%,200,"191,407","72,503",26.49,"110,446",11.31,-5.64
0,38,효성중공업,e=298040,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A298040,"2,012,000","상승
				164,000",+8.87%,"5,000","187,610","9,325",25.46,"91,876",43.03,14.90
0,39,포스코퓨처엠,e=003670,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A003670,"206,000","상승
				1,500",+0.73%,500,"183,229","88,946",9.24,"180,504",-79.75,-7.98
0,40,KT&G,e=033780,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A033780,"143,000","하락
				300",-0.21%,"5,000","168,707","117,977",42.17,"165,393",15.45,12.66
0,41,기업은행,e=024110,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A024110,"21,050","하락
				50",-0.24%,"5,000","167,858","797,426",13.54,"920,469",6.21,8.06
0,42,HD현대,e=267250,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A267250,"208,500","상승
				1,000",+0.48%,"1,000","164,701","78,993",25.38,"140,708",22.95,6.36
0,43,LG전자,e=066570,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A066570,"99,700","상승
				4,900",+5.17%,"5,000","162,398","162,886",32.08,"2,776,901",16.78,1.81
0,44,LS ELECTRIC,e=010120,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A010120,"515,000","상승
				28,500",+5.86%,"5,000","154,500","30,000",21.76,"251,620",58.09,13.44
0,45,두산,e=000150,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A000150,"928,000","상승
				39,000",+4.39%,"5,000","150,279","16,194",14.67,"98,260",331.78,-14.57
0,46,삼성에스디에스,e=018260,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A018260,"176,000","하락
				1,500",-0.85%,500,"136,185","77,378",19.37,"174,146",17.75,8.42
0,47,현대글로비스,e=086280,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A086280,"179,300","상승
				2,800",+1.59%,500,"134,475","75,000",50.28,"243,677",9.68,13.24
0,48,KT,e=030200,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A030200,"53,100",보합0,0.00%,"5,000","133,824","252,022",49.00,"428,027",13.89,2.85
0,49,LG,e=003550,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A003550,"85,600","상승
				4,100",+5.03%,"5,000","132,014","154,222",35.46,"490,319",19.34,2.16
0,50,삼성에피스홀딩스,e=0126Z0,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A0126Z0,"515,000","하락
				42,000",-7.54%,"2,500","128,148","24,883",5.97,"1,269,472",N/A,N/A
0,51,미래에셋증권,e=006800,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A006800,"21,850","상승
				50",+0.23%,"5,000","124,614","570,316",10.89,"2,324,574",12.54,7.94
0,52,하이브,e=352820,https://comp.fnguide.com/SVO/WooriRenewal/Snapshot.asp?pGB=12&gicode=A352820,"290,000","하락
				5,500",-1.86%,500,"123,430","42,562",19.16,"147,520","-14,500.00",0.31
